date,gpr_global,gprt_threats,gpra_acts
2000-01-01,64.46,65.57,64.25
2000-02-01,63.54,57.65,68.08
2000-03-01,50.1,55.03,40.82
2000-04-01,48.68,53.3,40.92
2000-05-01,79.48,77.27,83.23
2000-06-01,64.72,73.57,53.17
2000-07-01,51.9,57.32,41.06
2000-08-01,46.49,49.19,41.59
2000-09-01,52.69,64.44,35.19
2000-10-01,76.46,82.39,77.61
2000-11-01,45.06,44.36,47.21
2000-12-01,45.4,46.17,43.98
2001-01-01,46.9,53.7,38.34
2001-02-01,55.09,63.69,45.43
2001-03-01,61.71,66.72,56.87
2001-04-01,50.57,52.77,47.17
2001-05-01,60.38,61.34,56.86
2001-06-01,72.06,79.31,64.21
2001-07-01,61.07,65.49,52.62
2001-08-01,64.11,55.23,74.89
2001-09-01,498.65,260.17,841.18
2001-10-01,512.53,261.35,854.07
2001-11-01,306.79,149.8,509.75
2001-12-01,236.1,126.2,381.97
2002-01-01,172.48,106.92,262.29
2002-02-01,146.19,95.78,212.91
2002-03-01,151.98,99.12,219.97
2002-04-01,157.5,100.74,225.64
2002-05-01,163.32,142.25,209.41
2002-06-01,149.33,127.79,189.12
2002-07-01,122.78,94.35,168.42
2002-08-01,127.06,101.7,157.46
2002-09-01,174.9,174.53,188.72
2002-10-01,172.03,167.03,197.4
2002-11-01,159.13,155.01,179.06
2002-12-01,175.81,183,175.2
2003-01-01,206.43,245.82,176.96
2003-02-01,239.61,296.76,213.08
2003-03-01,358.71,362.41,429.14
2003-04-01,255.78,212.61,331.6
2003-05-01,162.12,153.4,186.85
2003-06-01,145.77,127.83,176.92
2003-07-01,134.9,108.39,167.45
2003-08-01,138.23,109.65,180
2003-09-01,118.2,99.72,143.56
2003-10-01,108.32,93.03,129.94
2003-11-01,118.09,93.33,153.25
2003-12-01,129.47,107.44,164.98
2004-01-01,113.47,106.72,126.09
2004-02-01,115.08,104.11,129.24
2004-03-01,138.53,109.12,183.7
2004-04-01,149.63,121.15,205.33
2004-05-01,121.09,91.97,159.95
2004-06-01,137.23,106.79,178.04
2004-07-01,131.02,121.27,159.81
2004-08-01,140.37,127.45,176.45
2004-09-01,153.87,130.21,189.36
2004-10-01,119.86,100.51,148.24
2004-11-01,122.71,98.93,151.68
2004-12-01,109.9,81.6,145.23
2005-01-01,100.89,78.2,128.53
2005-02-01,108.98,104.77,108.8
2005-03-01,90.41,87.23,87.88
2005-04-01,87.03,72.53,102.85
2005-05-01,98.21,89.93,104.91
2005-06-01,81.12,69.88,93.42
2005-07-01,165.9,118.18,237.57
2005-08-01,116.23,92.68,143.29
2005-09-01,103.81,78.46,130.27
2005-10-01,87.06,73.19,105.56
2005-11-01,83.48,70.6,96.03
2005-12-01,95.35,69.64,130.68
2006-01-01,94.51,89.32,100.19
2006-02-01,95.86,89.41,102.8
2006-03-01,92.8,88.04,97.04
2006-04-01,89.02,85.91,92.83
2006-05-01,85.21,84.03,82.28
2006-06-01,102.57,90.38,115.68
2006-07-01,137.13,134.4,142.09
2006-08-01,147.08,141.56,159.19
2006-09-01,111.72,110.28,114.77
2006-10-01,113.14,125.29,99.27
2006-11-01,88.78,87.28,86.71
