Quarter,india_cad_usd_mn,date
2000-Q1,-1162.180726,01-01-2000
2000-Q2,-2563.257556,01-04-2000
2000-Q3,-1631.136416,01-07-2000
2000-Q4,755.3260459,01-10-2000
2001-Q1,772.7696978,01-01-2001
2001-Q2,1126.797359,01-04-2001
2001-Q3,-964.8087217,01-07-2001
2001-Q4,475.4232312,01-10-2001
2002-Q1,2762.771869,01-01-2002
2002-Q2,1128.671783,01-04-2002
2002-Q3,1814.881659,01-07-2002
2002-Q4,1353.170726,01-10-2002
2003-Q1,2047.033842,01-01-2003
2003-Q2,-422.0199498,01-04-2003
2003-Q3,3185.431271,01-07-2003
2003-Q4,3962.0651,01-10-2003
2004-Q1,7356.78925,01-01-2004
2004-Q2,3607.429576,01-04-2004
2004-Q3,-4429.886133,01-07-2004
2004-Q4,-5754.136972,01-10-2004
2005-Q1,4106.774615,01-01-2005
2005-Q2,-4793.305288,01-04-2005
2005-Q3,-4683.938124,01-07-2005
2005-Q4,-4913.07451,01-10-2005
2006-Q1,4488.956653,01-01-2006
2006-Q2,-4437.569871,01-04-2006
2006-Q3,-5746.981014,01-07-2006
2006-Q4,-3603.466085,01-10-2006
2007-Q1,4223.011724,01-01-2007
2007-Q2,-4531.410667,01-04-2007
2007-Q3,-4257.12173,01-07-2007
2007-Q4,-3510.173811,01-10-2007
2008-Q1,-3437.650675,01-01-2008
2008-Q2,-3400.241343,01-04-2008
2008-Q3,-12264.37864,01-07-2008
2008-Q4,-11869.71652,01-10-2008
2009-Q1,-379.9131551,01-01-2009
2009-Q2,-4091,01-04-2009
2009-Q3,-9258.017415,01-07-2009
2009-Q4,-12457.50539,01-10-2009
2010-Q1,-12635.66498,01-01-2010
2010-Q2,-13385.32117,01-04-2010
2010-Q3,-17204.46884,01-07-2010
2010-Q4,-11290.42263,01-10-2010
2011-Q1,-6029.653034,01-01-2011
2011-Q2,-17445.59341,01-04-2011
2011-Q3,-18879.25714,01-07-2011
2011-Q4,-20163.13364,01-10-2011
2012-Q1,-21704.95154,01-01-2012
2012-Q2,-16932.7006,01-04-2012
2012-Q3,-20976.40706,01-07-2012
2012-Q4,-31857.18664,01-10-2012
2013-Q1,-18077.90656,01-01-2013
2013-Q2,-21750.6359,01-04-2013
2013-Q3,-5112.657912,01-07-2013
2013-Q4,-4181.470016,01-10-2013
2014-Q1,-1212.062307,01-01-2014
2014-Q2,-7461.645827,01-04-2014
2014-Q3,-10944.98133,01-07-2014
2014-Q4,-7695.592532,01-10-2014
2015-Q1,-686.7951482,01-01-2015
2015-Q2,-6119.476486,01-04-2015
2015-Q3,-8539.022747,01-07-2015
2015-Q4,-7111.543628,01-10-2015
2016-Q1,-317.7634643,01-01-2016
2016-Q2,-382.5085135,01-04-2016
2016-Q3,-3449.56324,01-07-2016
2016-Q4,-7963.95249,01-10-2016
2017-Q1,-2554.006498,01-01-2017
2017-Q2,-14965.58964,01-04-2017
2017-Q3,-6944.36603,01-07-2017
2017-Q4,-13703.69705,01-10-2017
2018-Q1,-13047.43271,01-01-2018
2018-Q2,-15781.76776,01-04-2018
2018-Q3,-19032.68526,01-07-2018
2018-Q4,-17737.55333,01-10-2018
2019-Q1,-4628.370364,01-01-2019
2019-Q2,-14976.54707,01-04-2019
2019-Q3,-7553.331364,01-07-2019
2019-Q4,-2604.615854,01-10-2019
2020-Q1,584.3827385,01-01-2020
2020-Q2,19083.02566,01-04-2020
2020-Q3,15274.87441,01-07-2020
2020-Q4,-2212.234224,01-10-2020
2021-Q1,-8134.779075,01-01-2021
2021-Q2,6580.763388,01-04-2021
2021-Q3,-9712.07426,01-07-2021
2021-Q4,-22156.26941,01-10-2021
2022-Q1,-13403.61861,01-01-2022
2022-Q2,-17945.45757,01-04-2022
2022-Q3,-30885.2423,01-07-2022
2022-Q4,-16816.62348,01-10-2022
2023-Q1,-1336.195578,01-01-2023
2023-Q2,-8941.834746,01-04-2023
2023-Q3,-11262.11233,01-07-2023
2023-Q4,-10415.35528,01-10-2023
2024-Q1,4586.13344,01-01-2024
2024-Q2,-4454.302806,01-04-2024
2024-Q3,-20832.31893,01-07-2024
2024-Q4,-11314.93014,01-10-2024
2025-Q1,13654.43576,01-01-2025
2025-Q2,-2861.532504,01-04-2025
2025-Q3,-13969.61527,01-07-2025
2025-Q4,-15490.29937,01-10-2025
2026-Q1,7081.273156,01-01-2026
