date,Expected INR/USD Average,ln_inr_usd
2000-01-01,43.55,3.773915903
2000-02-01,43.61,3.77534266
2000-03-01,43.59,3.774792666
2000-04-01,43.64,3.775980577
2000-05-01,43.99,3.783849349
2000-06-01,44.69,3.79977102
2000-07-01,44.78,3.801817438
2000-08-01,45.69,3.82183787
2000-09-01,45.89,3.826225437
2000-10-01,46.35,3.836167353
2000-11-01,46.78,3.845504285
2000-12-01,46.75,3.844825593
2001-01-01,46.55,3.840429255
2001-02-01,46.52,3.839858467
2001-03-01,46.62,3.842040359
2001-04-01,46.79,3.845594059
2001-05-01,46.92,3.848444024
2001-06-01,47,3.850243342
2001-07-01,47.14,3.853160505
2001-08-01,47.13,3.852846085
2001-09-01,47.65,3.863798681
2001-10-01,48.02,3.871627587
2001-11-01,48,3.871146218
2001-12-01,47.92,3.869587835
2002-01-01,48.32,3.877746625
2002-02-01,48.69,3.885504477
2002-03-01,48.74,3.886488559
2002-04-01,48.92,3.89017609
2002-05-01,49,3.891820298
2002-06-01,48.97,3.891136391
2002-07-01,48.76,3.88699049
2002-08-01,48.59,3.883349213
2002-09-01,48.44,3.880358536
2002-10-01,48.37,3.878938913
2002-11-01,48.26,3.876504837
2002-12-01,48.14,3.874113432
2003-01-01,47.93,3.869796066
2003-02-01,47.74,3.865681431
2003-03-01,47.64,3.863694785
2003-04-01,47.38,3.858147432
2003-05-01,47.08,3.8519154
2003-06-01,46.71,3.843937936
2003-07-01,46.23,3.833619637
2003-08-01,45.94,3.827238239
2003-09-01,45.85,3.825385668
2003-10-01,45.39,3.81530173
2003-11-01,45.52,3.81815179
2003-12-01,45.59,3.819708355
2004-01-01,45.46,3.816759565
2004-02-01,45.27,3.812681451
2004-03-01,45.01,3.806990436
2004-04-01,43.93,3.782673258
2004-05-01,45.26,3.81237945
2004-06-01,45.52,3.818061935
2004-07-01,46.04,3.829589642
2004-08-01,46.34,3.836056877
2004-09-01,46.1,3.830771734
2004-10-01,45.78,3.823927696
2004-11-01,45.13,3.809477191
2004-12-01,43.98,3.783744762
2005-01-01,43.76,3.778647943
2005-02-01,43.68,3.776821648
2005-03-01,43.69,3.777119243
2005-04-01,43.74,3.778289992
2005-05-01,43.49,3.772563907
2005-06-01,43.59,3.774733933
2005-07-01,43.54,3.77361965
2005-08-01,43.63,3.77565124
2005-09-01,43.92,3.782290104
2005-10-01,44.82,3.802710245
2005-11-01,45.73,3.822721736
2005-12-01,45.65,3.820903931
2006-01-01,44.4,3.793205685
2006-02-01,44.33,3.791685334
2006-03-01,44.48,3.795082365
2006-04-01,44.95,3.805537635
2006-05-01,45.41,3.815712305
2006-06-01,46.06,3.829846105
2006-07-01,46.46,3.838509718
2006-08-01,46.54,3.840292605
2006-09-01,46.12,3.831267294
2006-10-01,45.47,3.817018019
2006-11-01,44.85,3.803333622
2006-12-01,44.63,3.798507103
2007-01-01,44.33,3.791729321
2007-02-01,44.16,3.787832083
2007-03-01,44.03,3.784769012
2007-04-01,42.15,3.741259595
2007-05-01,40.78,3.708179995
2007-06-01,40.77,3.707993119
2007-07-01,40.42,3.699234653
2007-08-01,40.82,3.709113851
2007-09-01,40.34,3.697343533
2007-10-01,39.51,3.676634287
2007-11-01,39.44,3.67478053
2007-12-01,39.44,3.67478053
2008-01-01,39.37,3.67312551
2008-02-01,39.73,3.682094488
2008-03-01,40.36,3.697756685
2008-04-01,40.03,3.689573713
2008-05-01,42.13,3.740653258
2008-06-01,42.82,3.757005283
2008-07-01,42.84,3.75739101
2008-08-01,42.94,3.759779339
2008-09-01,45.56,3.819117931
2008-10-01,48.64,3.884491878
2008-11-01,49,3.891888255
