date,kilian_grea
2000-01-01,-10.213519
2000-02-01,-8.8680968
2000-03-01,5.8081439
2000-04-01,8.8926933
2000-05-01,4.9061376
2000-06-01,3.6750359
2000-07-01,5.3597969
2000-08-01,6.8154523
2000-09-01,10.819376
2000-10-01,12.089681
2000-11-01,11.388977
2000-12-01,4.5383722
2001-01-01,1.4245486
2001-02-01,-4.352717
2001-03-01,-2.7002748
2001-04-01,-6.9892929
2001-05-01,-6.708606
2001-06-01,-11.795458
2001-07-01,-24.637312
2001-08-01,-45.30527
2001-09-01,-49.169739
2001-10-01,-53.823982
2001-11-01,-58.508413
2001-12-01,-56.546777
2002-01-01,-49.77303
2002-02-01,-46.708204
2002-03-01,-36.442922
2002-04-01,-35.603533
2002-05-01,-39.720129
2002-06-01,-43.35769
2002-07-01,-44.120056
2002-08-01,-42.824283
2002-09-01,-26.303251
2002-10-01,-11.963488
2002-11-01,-5.2346058
2002-12-01,7.9652594
2003-01-01,9.3589932
2003-02-01,7.791287
2003-03-01,17.791096
2003-04-01,29.284592
2003-05-01,37.394995
2003-06-01,33.100314
2003-07-01,35.527211
2003-08-01,39.457691
2003-09-01,46.756778
2003-10-01,99.516578
2003-11-01,101.69692
2003-12-01,109.70231
2004-01-01,122.05899
2004-02-01,126.15018
2004-03-01,120.07077
2004-04-01,106.7096
2004-05-01,84.268935
2004-06-01,62.621591
2004-07-01,89.06134
2004-08-01,99.022722
2004-09-01,98.198317
2004-10-01,107.01588
2004-11-01,122.38107
2004-12-01,126.4265
2005-01-01,106.27729
2005-02-01,106.69089
2005-03-01,109.66457
2005-04-01,106.3497
2005-05-01,85.388504
2005-06-01,56.689304
2005-07-01,34.864806
2005-08-01,33.829794
2005-09-01,56.569729
2005-10-01,68.569191
2005-11-01,61.171262
2005-12-01,49.867233
2006-01-01,35.503206
2006-02-01,43.357816
2006-03-01,49.522657
2006-04-01,43.895768
2006-05-01,42.825924
2006-06-01,53.451848
2006-07-01,64.598868
2006-08-01,83.289541
2006-09-01,93.065935
2006-10-01,93.404101
2006-11-01,97.463767
2006-12-01,100.51195
2007-01-01,103.37675
2007-02-01,101.71105
2007-03-01,116.61753
2007-04-01,128.09952
2007-05-01,138.5247
2007-06-01,128.10022
2007-07-01,141.06838
2007-08-01,150.26048
2007-09-01,167.53853
2007-10-01,186.94403
2007-11-01,187.45285
2007-12-01,180.57111
2008-01-01,148.59586
2008-02-01,144.30453
2008-03-01,160.06742
2008-04-01,162.74259
2008-05-01,189.21109
2008-06-01,182.65261
2008-07-01,168.43694
2008-08-01,149.93173
2008-09-01,110.26637
2008-10-01,10.075624
2008-11-01,-67.161105
2008-12-01,-75.907041
2009-01-01,-56.269801
2009-02-01,13.178363
2009-03-01,20.971974
2009-04-01,4.4665702
2009-05-01,47.080543
2009-06-01,87.307252
2009-07-01,74.653218
2009-08-01,51.999509
2009-09-01,38.688717
2009-10-01,54.085535
2009-11-01,90.046262
2009-12-01,80.329481
2010-01-01,68.428217
2010-02-01,51.886525
2010-03-01,70.046068
2010-04-01,64.939969
2010-05-01,88.36882
2010-06-01,66.834039
2010-07-01,18.771356
2010-08-01,42.952506
2010-09-01,54.112238
2010-10-01,52.969931
2010-11-01,38.017205
2010-12-01,24.435475
2011-01-01,-12.856399
2011-02-01,-30.093696
2011-03-01,-7.0010122
2011-04-01,-17.891377
2011-05-01,-17.345448
2011-06-01,-11.374356
2011-07-01,-16.309443
2011-08-01,-14.901107
2011-09-01,13.336209
2011-10-01,25.310576
2011-11-01,13.139359
2011-12-01,15.090534
2012-01-01,-43.6836
2012-02-01,-82.887582
2012-03-01,-62.840487
2012-04-01,-45.604545
2012-05-01,-37.616601
2012-06-01,-53.47675
2012-07-01,-41.385393
2012-08-01,-74.626498
2012-09-01,-82.265685
2012-10-01,-52.576869
2012-11-01,-44.935544
2012-12-01,-62.77611
2013-01-01,-73.282646
2013-02-01,-77.042116
2013-03-01,-60.378107
2013-04-01,-60.24297
2013-05-01,-62.740339
2013-06-01,-52.856793
2013-07-01,-35.139895
2013-08-01,-38.381346
2013-09-01,5.2147596
2013-10-01,16.712665
2013-11-01,-2.2060721
2013-12-01,31.144075
2014-01-01,-8.0853553
2014-02-01,-33.629588
2014-03-01,-7.2734047
2014-04-01,-42.342107
2014-05-01,-47.659972
2014-06-01,-56.025747
2014-07-01,-69.583837
2014-08-01,-53.028012
2014-09-01,-34.796456
2014-10-01,-36.568698
2014-11-01,-17.152666
2014-12-01,-54.830851
2015-01-01,-76.683956
2015-02-01,-106.36869
2015-03-01,-99.914478
2015-04-01,-97.214633
2015-05-01,-96.426852
2015-06-01,-80.757289
2015-07-01,-47.44185
2015-08-01,-38.4301
2015-09-01,-56.189693
2015-10-01,-67.514089
2015-11-01,-98.361748
2015-12-01,-109.55348
2016-01-01,-138.90258
2016-02-01,-161.6111
2016-03-01,-139.52124
2016-04-01,-93.696658
2016-05-01,-91.742162
2016-06-01,-93.814026
2016-07-01,-78.428927
2016-08-01,-83.450213
2016-09-01,-62.833245
2016-10-01,-58.100978
2016-11-01,-37.015541
2016-12-01,-39.203024
